bh-coords,bh-region,bh-system,ex-coords,ex-region,ex-system
010C:007B:0848:0079,Uygetek Nebula,Kizumiok,07A5:0082:011C:0047,Viansar Adjunct,Kizumiok
010C:007B:0849:0079,Icanphian,Ourghekli XIII,0DEC:0080:047B:0074,Numaiden Sector,Ourghekli XIII
010D:007A:0848:0079,Ketsekh Terminus,Spjalti,08D8:007B:0127:0028,Majhianga Void,Spjalti
010D:007A:0849:0079,Srodop Instability,Hohhoe III,0E71:0081:0590:0055,Sefnispa Boundry,Hohhoe III
010D:007A:084A:0079,Jupann,Abunh-Umme,0D29:007F:0C92:000A,Hopakad Cluster,Abunh-Umme
010D:007B:084A:0079,Hotendov,Evistur,0AC4:007B:01B0:0053,Sniarokop,Evistur
010E:007A:0849:0079,Peshatkas Terminus,Vikatiseli,07AD:007D:0EE2:0007,Miquat Boundary,Vikatiseli
010F:007A:0848:0079,Yuncism Terminus,Hejinj,0E5D:007C:0AA3:0005,Fijongwa Spur,Hejinj
010F:007B:0849:0079,Ruekerk Mass,Kototora,0E56:007E:054B:0003,Ufmans Shallows,Kototora
0111:007C:0849:0079,Ryestlir Mass,Nahagi-Ara,0655:0083:0EAC:0027,Lamalanth,Nahagi-Ara
0113:007B:0849:0079,Jamard Conflux,Eethryto,01D9:0080:0B10:0034,Skritze,Eethryto
0115:007C:0849:0079,Riweile Fringe,Siapor X,0941:007D:0141:0059,Uscamm Anomaly,Siapor X
0116:0080:078E:0079,Aygana Terminus,Voanni,05C5:007C:017F:001E,Yidowic Shallows,Aifustu
0117:007C:0849:0079,Docllo Void,Inrongw XII,089B:0080:012B:0035,Senostv Nebula,Inrongw XII
011B:007B:0848:0079,Daedoa Band,Matagaha,08EF:0081:013B:006B,The Arm of Tarnat,Matagaha
011D:007B:0848:0079,Sea of Diytranfo,Gemonti-Huch,0AB6:0082:01BB:0048,Sermeic Conflux,Gemonti-Huch
0120:007B:0848:0079,Temaya Fringe,Utashi IV,01F8:007F:0B2D:004F,Yoblint,Utashi IV
0120:0081:01D2:0079,Timmann Nebula,Takijap XV,0EA1:007C:0E5A:0005,,
0124:007B:0847:0079,Dohumadler,Valopal,0796:007B:0135:0054,The Arm of Dilarazo,Valopal
0129:007B:0847:0079,Hukose Instability,Ahkajia-Ibayi,0137:007D:0824:0038,Mohrimit Terminus,Ahkajia-Ibayi
0129:007F:0BF6:0079,Cokjelatin,Samada-Kuraz XVIII,0C8B:007D:0E62:0058,,
012A:0083:07FA:0079,The Arm of Plutbig,Elkarmen,0A63:0081:01AA:0070,Habetsesur Band,Elkarmen
0135:0082:07EA:0079,Aymiol,Vigorod,01DB:007F:0AC3:001D,Ehditi Spur,Wasenna-Ihem
0137:007D:0824:0079,Mohrimit Terminus,Aguchu X,0EA6:007D:08F6:0043,Riwindin Mass,Aguchu X
0137:0081:03B8:0079,Ewulgh Conflux,Yarnyazna,0FE3:007B:06EF:0023,,
013C:0086:079E:0079,The Arm of Ulngapako,Nelzia-Oktyiv XII],0213:007F:0B2C:001F,Aumaip Cloud,Hakuchu
0141:0086:079F:0079,Pequeron Shallows,Aoanshipi VI,0980:0082:0179:003F,Occaca Shallows,Guneunga
0147:0080:07FB:0079,Hutersu Band,Girusa,0338:0081:035D:0068,,
014A:007B:0902:0079,Yotiege Void,Andfor,0E86:0083:0995:006E,Sea of Biwairnob,Refelto
015A:007D:0625:0079,Cemonti Quadrant,Amison,0D5B:0083:0C3C:0062,,
015A:0080:08DF:0079,Niwenap,Madone,0193:007F:09B0:0044,Sea of Issarrinm,Akansi-Jioki VI
016D:0083:0668:0079,Joschen,Latovo-Kashe XIV,0159:0080:08DF:0028,Didiiw Cluster,AtarusI
0175:0082:072C:0079,Wutiac,Arialektr,0E43:0083:0622:0018,Apurumb Cluster,Ilumaima
017A:007F:078E:0079,Rybiamo Fringe,Tilinett,065B:007C:01BD:0077,Fufaleyz Cluster,Agittan
017F:0080:07D1:0079,Abcochu Boundary,Gildkomi VI,03D5:0080:0CE9:0058,Nodyper Cluster,Gildkomi VI
0181:0083:057D:0079,Ripaiy Void,Yepolee-Sappo,0EC1:007B:0967:0027,The Arm of Uyound,Eslavl
0183:0082:07AA:0079,Sea of Amhernhar,Odneyas-Limubu XV,033B:007E:03AF:006E,Bebyfis Fringe,Kehyanc
018B:007D:08BC:0079,Sea of Aumalle,Tofolds-Nagor,0DBF:007C:0ADF:0074,Locinga,Offentl XII
01A3:0082:072B:0079,Ofgreg Cluster,Kumiot-Durs XII,04E3:0082:0276:0073,Gisanisle,Kumiot-Durs XII
01AC:007F:0412:0079,Telyawaw Void,Imechn-Rove VIII,0368:0080:0DC9:0021,Xedini Shallows,Ukukopio XII
01B2:0083:0A04:0079,Ooloss,Ruregwa,0DF8:007D:0AB5:0036,Apmannd Cluster,Igilsda-Rapr
01BF:007F:0680:0079,Dovika Cloud,Hacarlsaba,053A:0080:0244:0067,Drlenjo Cloud,Latyrin-Yinin XIV
01C0:0083:0791:0079,Syapem Mass,Makomoro,01DE:0081:0712:004B,Zechaqu Quadrant,Makomoro
01C4:007C:0691:0079,Emnoch Anomaly,Lozerzh,0C6A:0082:0C87:0075,Empsuto Terminus,Lozerzh
01C5:0080:049E:0079,Daperatch Mass,Reripugar,042D:007D:0219:0035,Sezczynuski Void,Anmula
01C6:007D:06F5:0079,Iformo Boundry,Awaraoc-Olmer,0359:0082:0C2C:0049,Alysesalk,Zilyuc-Owc IX
01CF:007F:0958:0079,Oysenaim Cluster,Naquanx VII,0279:007E:0AF9:0048,Riktondso Band,Yumeng-Muslot XII
01D0:0082:0ADC:0079,Sea of Neurra,Nudvikiu,0D0F:007F:0C7B:0006,Afooster Spur,Pizepa
01D1:0082:0ADC:0079,Oedscah Instability,Ekangju-Dize XVI,0DEF:0082:0B37:0031,Reonac Expanse,Uxainc
01D7:007E:06F1:0079,Kuolut Void,Mobould,04E8:0083:02A4:0056,Chyakonib,Mobould
01D8:0079:04EF:0079,Buener Void,Sushcih,07B6:007D:0ECF:001E,Gwaange Band,Hizdran
01DC:007E:0AC4:0079,Bujohn Spur,Eroura-Kupo,0E49:0081:0A3E:001D,Ipgende Boundary,Iawachi XVII
01DE:007D:093E:0079,Usipet Boundary,Olomosc-Hekin VII,0D7C:0081:0ADD:0061,Inrogr Spur,Olomosc-Hekin VII
01DE:0081:0712:0079,Zechaqu Quadrant,Opeatk-Sifik,07F9:007F:0E22:005B,Yagiabo Spur,Opeatk-Sifik
01E3:007D:06CD:0079,Wepawe Quadrant,Loyanovy I,0839:0080:0E27:006F,Recunnu,Loyanovy I
01E5:007C:0890:0079,Bujole Anomaly,Joyone,01F1:0080:07A4:0059,Esburr Conflux,Widzangm 
01EB:007E:08C3:0079,Kogapas Void,Rufjol-Sotap,0CF0:007D:0B87:000C,Sea of Pawylind,Katmaliin
01EE:0078:04FA:0079,Ohlabi,Uigana-Bulag,0E1F:007C:0AC1:003E,Orgarra Nebula,Iobari-Nedon
01F0:0080:07A4:0079,Kiffet Spur,Ekotel-Imu,0DD2:0082:097F:001D,Sacotta Nebula,Aulukups XI
01F1:007E:056D:0079,Lenussid,Lucian-Lizab,0213:007F:0541:000D,Stneves Adjunct,Aokazom-Jeju XI
01F2:007D:09B3:0079,Regrebi Quadrant,Ickwat,01E3:007D:06CD:0041,Wepawe Quadrant,Ickwat
01F5:007C:0A56:0079,Daquisa Sector,Nutwork VI,01A3:0082:072B:0063,Ofgreg Cluster,Nutwork VI
0200:007D:09FF:0079,Otlipe,Hodesi-Gusark,05D3:0080:0221:0065,Yidoshn Nebula,Aerusa
0200:0082:0A70:0079,Cokresi Nebula,Mitose-Haba,0E0E:007E:05DE:0018,Manemel Terminus,Mitose-Haba
0203:0082:0B12:0079,Ibolif Void,Sprobing,0EA8:007C:07E5:0075,Litilu Sector,Iezhon-Nunan XVII
0205:007D:0AE5:0079,Tupema Band,Qusumz,04AE:007D:024F:0035,Tiyacoc Adjunct,Rustyume
020A:0080:0AEB:0079,The Arm of Zoynosbu,Beaume-Oyn,0420:0082:0D4E:0063,Uaveld Void,Esennes XVII 
0211:007E:0A25:0079,Oskimo Nebula,Kitsus,0555:007F:0DA5:004B,Begenab Mass,Yatritta XIII
0212:007E:0B2B:0079,Rofostha Fringe,Rimato-Obu,090B:007D:0E92:005B,Ulleru,Jeangou-Zada
0213:007F:053F:0079,Kehmaki,Koroza,0CA8:007F:0383:004C,Sirasu Sector,Zuhukovs
0214:007F:04AE:0079,Chweir,Sendabas,05AD:007D:01B0:005A,Mutaman Cloud,Urmatis-Ina XVII
021C:0080:0512:0079,Teskyan Mass,Repukhi-Naut XVIII,0C39:0080:030C:0077,Uencoo,Repukhi-Naut XVIII
021C:0083:0897:0079,Yanuefa Instability,Ponafal-Axi III,02C9:007E:0AB0:0008,Lifthor Adjunct,Gisargo-Zilovo
021D:007B:079C:0079,Wherann Sector,Yaidam I,0C4F:007B:0BEE:0039,Amzela,Guanngai
021D:007E:0A2A:0079,Boyblin Boundary,Uedatuswe,0A92:007C:0259:0058,Ryhuste,LudfotoXI
0224:007F:06ED:0079,Eztiko Cluster,Jaresbu,024D:0082:0680:0067,Yosiaroa Instability,Jaresbu
0225:007B:0694:0079,Xucroch Cloud,Gamias,0C2C:0081:0C3F:005E,Eipekias Terminus,Ekdalah-Ets
0228:007C:0D19:0079,The Arm of Lunjuwa,Shogaw,02B2:007D:0D92:0054,,
0229:007B:0B78:0079,Patorwa Void,Dageni XI,0203:0082:0B12:0064,Ibolif Void,Antonoe-Daza
022C:007D:04AF:0079,Jakbert Cloud,Igxung XVIII,0CFB:0080:039B:0035,Otheia Quadrant,Tiinis I
0233:0083:064A:0079,Hyiare Conflux,Vaiutsimo,08EC:007C:0215:002C,Neunga Terminus,Nuqenzhi XV
0237:007E:0606:0079,Sequager Conflux,Logjenetin XI,0AF0:007B:02B8:0071,Jaquech Cluster,Arkhar
023B:0082:073B:0079,Eradors Mass,Uwakats,0542:007C:0D0F:004C,Siztajika,Niqenxiang
023C:0081:0A46:0079,Lekmene Nebula,Ulusti-Futie,0999:007C:0214:006A,The Arm of Ibwayatso,Potkov-Midi IX
023E:007B:09CB:0079,Acphae Mass,Arbunah l System,0719:0083:0217:0012,Fedieta,Yandallica System
023F:007A:070B:0079,Uzoutop Mass,Dabaeu-Urmu,0540:0082:02ED:005B,The Arm of Eenpaa,Oching-Ukou IV
0247:007D:06E4:0079,Dipitya,Halbeign V,03CA:0082:040F:0065,Yafiltb Terminus,Halbeign V
024C:007C:0B54:0079,Plefsc Void,Puteshc-Effo,0526:007E:0DE4:002C,Feyeruk Conflux,Ubkino
024C:007E:0B5A:0079,Sea of Cagnespl,Warabi,0BE6:007B:0D42:005F,Laoday,Lagarima
024D:0081:0AF9:0079,Sticss Void,Emneor-Ari,0441:0082:02D6:0008,Odzerb Boundary,Ipkinyan X
024D:0082:0680:0079,Yosiaroa Instability,Undsay-Ruo,0247:007D:06E4:0064,Dipitya,Undsay-Ruo
0252:007F:0736:0079,Ratbere,Arsarc IX,0D8C:0082:092B:003A,Nugyearcu Void,Jejunctu
0252:0082:04AF:0079,Tomilel,Doveyki,0448:0082:0D56:0071,Rematyai Quadrant,Ropeysk XI
0253:007C:06E1:0079,Weywis,Henkov,0C41:0081:0BD2:002D,Xecescuttl,Argils-Orba
025C:007D:091D:0079,Vegalu Cluster,Inantun,0462:0083:0C66:0001,Wachmarm Conflux,Inantun
025E:007E:07EB:0079,Hudihe,Nezawa,0B5F:007E:0392:0056,Iorumit Shallows,Yemdoijin
0262:007D:0819:0079,Hoekre Mass,Paptakmo,0CFE:007D:058D:000C,Uiyati Shallows,Suginai XI
0268:0083:05D8:0079,Icoand Mass,Nemans-Vaikh,091D:007F:0DD3:0024,Ooitjap,Onnomy
026B:0083:08FF:0079,Uchead,Gifuna,0883:0081:026A:0060,Daskyer Band,Awsheyu-Zonoykh
026D:0080:0B30:0079,Igamudh Spur,Eggisli III,0A59:0082:0DE9:0017,Pogarlse Shallows,Ankokut-Munak
0270:0082:071B:0079,The Arm of Eagupa,Giyuanql XVIII,0339:0080:0ADF:0033,Uzoutpo,Raquil
0277:0080:046D:0079,Olmasew Conflux,Cordwins,0515:0082:022A:0072,The Arm of Eeyennie,Tasuhmann IV
0279:007E:0AF9:0079,Riktondso Band,Tobanq-Oyona,0B10:007C:0D67:003C,Omfiels,Naadirs-Obs
0283:007F:0550:0079,Aronsang Fringe,Usanyo,023A:007C:09CD:0051,Hussentash Anomaly,Fargitte System
0285:007E:0259:0079,Gawantu Conflux,Kuvaro,0EBD:0080:0BF1:0027,,
0288:007C:0B63:0079,Oggien Fringe,Batorvus,0D2D:0080:0BB8:0014,Yamradcl,Batorvus
0288:007F:05C5:0079,Hovska Cluster,Osekin_One,0D49:007D:0585:0058,Ibboto Terminus,Ilnoster
028A:0080:098E:0079,The Arm of Ruvaramstr,Tulanki,0D26:007C:0A3E:0017,Baedas,rmusc-Aforh XIV
028B:0082:05F5:0079,The Arm of Tapharve,Ittori,0CCC:007D:0B2F:003B,Nogputzi Adjunct,Ittori
0293:007B:039C:0079,Voltania Instability,Ivvardve XIV,0116:0080:078E:0003,Aygana Terminus,Odskovo XIV
0295:0082:0905:0079,Yupoaes Anomaly,Esentved X,0BB6:007D:0BFD:002C,Geswell Spur,Ketroyna III
02A2:0083:04AD:0079,Kipscoh Terminus,Isianapon,0E3A:0080:0791:0064,Rabruto Mass,Ebrent-Zin
02A8:007D:0868:0079,Orgamamia Cluster,Dozernu,0B2D:0082:0C3D:0026,The Arm of Aszelaba,Uerlung-Gud IX
02AE:0080:05AE:0079,Igorukm Cluster,Shetsiml System,0351:007D:04AB:0025,Olammu Terminus,Rodingrov System
02AF:0083:04FD:0079,Ealerus,Uningt,0B25:0080:0D2A:0022,Dasayeka Instability,Uningt
02B2:007E:0AE0:0079,Luphry Quadrant,Deront I,08BE:007D:0DED:0025,Leafit,Deront I
02B3:007D:0D91:0079,Ittera Instability,Usjahlid VI,03A5:007C:01BA:0017,,
02B5:007F:0BA0:0079,Roseusa Terminus,Dosias,0524:0082:0DAB:0063,Alkyurj Sector,Arkadna X
02B5:0083:0937:0079,Oesmars Anomaly,Xaphas-Ubl,0467:007B:0BFA:0066,Umvelet Quadrant,Yohdische
02B7:007B:0767:0079,Edjeri,Imarcu,0471:0080:041E:000E,,
02C3:007D:06B6:0079,Ouyenn,Niuhet-Pai,0D13:007E:099F:003B,Shteni Spur,Avndavist IX
02C4:007B:0A45:0079,Przahev Nebula,Aufarg II,0D04:0082:0A99:0005,Kainla Cloud,Sonojo II
02C9:007E:0AB0:0079,Lifthor Adjunct,Higarr,033B:0080:04AE:003F,Egbancu Terminus,Wagoin
02CB:0080:0B9D:0079,Sea of Aopikul,Iryugawar VI,0E2D:0080:06EA:0055,Agpuru,Hugini
02CC:0081:08E5:0079,Nippon Terminus,Ripiumf III,0C9E:007D:0A68:006D,Yilwor Fringe,Isgard-Eolo
02CD:007F:0952:0079,Caecimmo Boundary,Ipatov XIII,0335:0080:0A46:002D,Emglaic Band,Medvin-Eosu
02D1:007F:09AF:0079,Lenytian Band,Ertomuni,0B98:0081:03FA:000F,Ojiruk Shallows,Iroishiy XIX
02D1:0082:0AFC:0079,Yanuefa Instability,Alengdi-Ilseha,021C:0083:0897:0061,Yanuefa Instability,Ponafal-Axi III
02DC:0081:0B52:0079,Ritshid Terminus,Legorski,0E0D:007F:0810:0071,Huevital Spur,Legorski
02DE:007B:078B:0079,Osbyoteum Cluster,Lizamady,0405:007F:0B2D:0028,Ryhusbace Fringe,Penzadga
02E2:0080:0C1F:0079,Sea of Rinelao,Napugarco,0E50:007E:066E:0048,Sea of Icopis,Echiomiya
02E4:0082:00BC:0079,Goulay Terminus,Sallma,01C6:007D:06F5:0012,Iformo Boundry,Etagahay X
02E6:007C:0709:0079,Wuweste Shallows,Racheni-Ixun VII,04FD:007E:03D6:001E,Swoiwns Boundary,Agfort
02EC:0082:0393:0079,Lerasud Mass,Decarosk,0596:0082:01C2:0069,Oumitraur Spur,Ulovodyl IX
02F2:007F:0E03:0079,Levskylan Nebula,Zukagas-Uunkh,007E:007B:05E4:005E,Gigingr Terminus,Adachiom
02F4:007E:09D0:0079,Jickre Sector,Juulikkil,08A8:0080:02BB:000F,Sidayangg Nebula,Zilyury-Gla
0301:007C:0C03:0079,Liyphei,Enride,0DD3:0082:0A82:004C,Celali Conflux,Obkhony IV
030B:0082:0983:0079,Idrust,Aoyunfu,0311:0082:0963:003A,Atkwat Anomaly,Nawara-Otkin XVI
0313:0082:0961:0079,Uistin,Bobronsk I,0801:0082:02F1:002C,Gebinak Quadrant,Qilian
0314:007D:0781:0079,Krzesi Expanse,Daevan,085A:0082:0322:0069,Gelalore Sector,Giletama
0318:007E:0832:0079,Euxois Cloud,Yoginins XIV,03B3:007C:05BF:0029,Tagraun Anomaly,Anordi-Kud
031F:007E:0C38:0079,Kemingt Quadrant,Nuhoite-Yamer,0E5C:007E:08A5:0018,Aidainae Fringe,Damaymo-Noar
0321:007C:03A0:0079,Utjalk,Viatni,0E15:007C:0A3C:0024,Flinya Instability,Ruunur III
0321:007C:056F:0079,Rubijaoi,Uppkas,0D28:007C:09BD:000A,Pesycihe Fringe,Jaingge-Pun
032C:0083:0595:0079,Uncess Fringe,Irflokk,05BC:0080:0CD6:0016,Borabeyl Void,Kayashibu VIII
0334:007E:05F7:0079,Nadvaramoa Terminus,Anaisi,0617:0083:0CC6:0059,The Arm of Takuldroi,Asuyam II
0335:0080:0A46:0079,Emglaic Band,Duzhay XIV,0B56:0082:0C0C:0022,Unziski,Gasargy
0337:0081:0ADD:0079,Mombik Band,Ilubis-Tesu XIV,0477:007C:0C3A:0061,Jileoni Nebula,Vashevs
0338:0081:035C:0079,Fuquech,Yaizum IV,035D:007B:0CB0:0058,,
033C:007F:08EC:0079,Azutun Instability,Tochikuz,0836:007C:0337:005F,Inoone Cloud,Eiangjin XIX
033E:007D:0601:0079,Dukouse Terminus,Yichue,0377:007B:0A55:0032,Jokberkel Cluster,Tashary VI
033E:007E:03B1:0079,Sea of Rirhuhy,Emneor-Aily,0B3C:0082:0D79:0009,Sea of Gumarlt,Udachk
0341:007B:0A9B:0079,Cakhawli Fringe,Nourasu,02F5:007F:09D1:0025,Ofalad Mass,Sabaeusic
0342:007D:03D0:0079,Xelarovi Mass,Oqudon-Asl,0E3F:007E:079F:0038,,
0343:007B:0522:0079,Otwalib Conflux,Natsusono,0BC4:007E:0409:005C,,
0345:0083:05E9:0079,Deholte Anomaly,Ijiraq,0BFC:0080:04D1:0068,Nisyolvana Nebula,Ieyang-Gagil
0351:007D:04AB:0079,Olammu Terminus,Bagyalila System,03B1:0082:0449:003B,Ocleopo Conflux,Levatav-Seyo III System
0351:007E:0471:0079,Aecilb Instability,Hagnamodi XV,0830:0080:022E:0035,Sea of Yuquixi,Itoiga-Egyip Il
0353:007C:0288:0079,Tamardok Expanse,Atangs-Bae XII,010B:0082:0995:0039,Aximan Sector,Uunkha-Teba VI
0355:007B:06A0:0079,Niagridj Sector,Kofunamih,0A13:007F:03AB:0053,Dadarabhr Band,Rutonac
0356:007E:0261:0079,Sahbrog Conflux,Ermleras,0CD5:0081:0299:0014,Huuahit,Rutorc
0356:0081:0319:0079,Sea of Liybius,Unwich-Lic,0550:007C:01DD:0073,Jebagal Adjunct,Damnyang
035A:0082:0E6C:0079,Giphore Band,Shoband-Refred,0746:007D:0FD5:004B,Lazdon Band,Zadgado
035C:0079:0CAE:0079,Cetondaz Void,Murazu-Segem VIII,0BDB:007F:0D42:005F,,
035C:0081:08FF:0079,Iurigge Expanse,Obeokam,0608:007E:03BF:005A,Kajidh Anomaly,Jorrans-Urpan
035D:0082:0C28:0079,Crucien Sector,Nichit,0DF7:007E:098B:0058,Oqomch Sector,Agning-Hita
035E:0081:0886:0079,Yakleya Void,Arofskin,0B17:0082:0497:003F,,
035F:007C:0AE8:0079,Zatlasod Anomaly,Utaysky,0342:007C:0A9C:001D,Kayanaossi Adjunct,Imitah-Gield VIII
0364:007F:0A1D:0079,Menarf Band,Ahomann,0428:0083:0B34:0069,Rekstiripo Fringe,Unglon-Reg
0368:007F:0DC9:0079,Lobele Shallows,Bebaeker,099B:0082:00D9:0046,Edvarre Adjunct,Bavliai XIII
036B:007D:0487:0079,Barkost Quadrant,Huvshi-Aqo,0DAF:0081:0827:001E,Sea of Dihnansa,Mookazu-Uta
036B:007D:0E4C:0079,Kusekian,Hyeley,0D54:0080:0D95:0078,,
0375:007E:044D:0079,Dibitzer Anomaly,Ageolaod,05BB:0083:02AB:0058,Geynnerv Boundary,Sebecca-Bish XVII
0377:007B:0A55:0079,Jokberkel Cluster,Bezhay-Evuiu,066C:0082:0CC9:0020,Kosmila Spur,Hiwami-Zahad IX
037D:0080:04A7:0079,Bayfiski Cluster,Luguan-Ihnut ,0954:007F:0D64:0033,Chmidtum,Towdza-Lich 
037D:0080:0D25:0079,Igyinne Nebula,Beatti-Aegur,084F:0082:0EC4:006C,Liaurini Shallows,Busana-Hio
037D:0081:04A7:0079,Yiguruka Fringe ,Iksetu-Mache,0D7F:007C:0734:002D,Conepet Cloud,Iihuai-Zush
0389:007E:03E8:0079,Stneyro Fringe,Oomuud-Rumi,0C8B:007E:0BE9:000C,Ahomat Expanse,Awajim
038B:007B:041E:0079,Dwingt Instability,Ninearis,0375:007E:044D:0016,Dibitzer Anomaly,Etajimina I
0394:0081:07F3:0079,Aequadj Instability,Jinoyam-Yest VIII,03B3:0080:08B9:004B,Jahiarn Boundary,Ukkonoll
0395:0082:06DC:0079,Teppercl,Datong-Orch IV,093B:0082:03AC:0045,Ilvanit Terminus,Amoding-Mole
0398:007C:0BF9:0079,Anasyu,Todonniu V,0DA7:007F:0997:0020,Sea of Ruynich,Todonniu V
039A:007B:02BD:0079,Sea of Mocijotu,Ofunak-Jis,03A8:007E:0D38:0059,Henupiazzi,Ruchyo-Ovdor III
03A3:0083:0482:0079,Nejacqua Nebula,Razamash VII,0669:007D:02B3:001C,Tojmari,Fitsah-Nugot XII
03A7:007C:06D5:0079,Uaayakh,Ircherj-Onpo,0C47:007E:06D0:002F,,
03A8:007C:038F:0079,Iadjan Conflux,Kabethes,06FA:0080:01EF:004F,Imnias Instability,Usoliga
03A8:007E:0D38:0079,Henupiazzi,Edvarl II,06BD:0082:0E9D:0013,Gafoosa Cluster,Dujiaza-Gazh XV
03A9:007F:0D21:0079,Gechit Spur,Ozhoskyviu,0DA1:0082:0B8A:0068,Zuyaricke Spur,Ozhoskyviu
03AA:007C:0897:0079,Algung Sector,Rivaika-Oda XV,0C36:007D:08E9:0035,Obreavezd Adjunct,Idoneya III
03AC:0079:0D22:0079,Vierma Shallows,Hagnovou,09C0:007F:0193:002B,Hedanke Sector,Hagnovou
03B0:0081:03BF:0079,Umeitsa Quadrant,Uoding-Legko,0B39:007C:0D0C:0037,Keyani Anomaly,Angotos-Aijan
03B1:007E:0368:0079,Sea of Weyllia,Oniupo,0DB7:007E:0A7A:0038,Nomasky Instability,Koriya-Opa XIX
03B3:0080:08B8:0079,Doikarti Cloud,Onjuku-Kuit,06B7:007E:03E5:0040,Toviche,Hyugai
03B4:007B:05C0:0079,Yegore Band,Rikaho,0707:007D:0CAE:0050,Aquagecht,Iturke-Vistc
03B4:0082:044C:0079, taim Nebula,Otsusa-Akamb XI System,08AB:007D:0D90:0056,Isperts Terminus,Ridynal-Zaqog XIII
03B9:0082:07D8:0079,The Arm of Irwala,Ligarli XVII,0639:007F:042D:0065,,
03BD:0078:0D24:0079,Sidembl,Nudarf XVII,0DCD:007F:0B2E:003E,Layevitra Terminus,Nudarf XVII
03BE:007F:0424:0079,Sikshuj Fringe,Aidsgerov,036F:0081:0B62:0041,Ressorg Conflux,Aidsgerov
03C1:0078:0D25:0079,Damulas Band,Popashty II,0BB3:0080:0284:0024,Wantjani,Popashty II
03C2:007B:073E:0079,Kaqchi Expanse,Losuunn,0B61:007B:056E:003F,Rowskan Quadrant,Roniste
03C2:007E:0699:0079,Unarin Void,Unarin-Emor,06CD:007C:0C3D:002D,Midarkus Cluster,Eniwaz-Riyaw
03C4:0082:0DDB:0079,Auoluray Conflux,Uayota-Via,0AAA:007C:0159:0066,,
03C7:0078:0D26:0079,Geisse Nebula,Nakragjyo,09A9:007B:019D:0060,Ezganc Expanse,Nakragjyo
03C7:007D:0B1E:0079,Atnald Cloud,Akonezak,0341:0083:05E7:0059,Wayamel,Hooeyaliy
03C9:0078:0D27:0079,Babeleus Conflux,Endenqua,077C:0081:016C:0069,Liyhyimni Adjunct,Endenqua
03CA:0082:040F:0079,Yafiltb Terminus,Siboniu,0635:0082:0D6B:000B,Iquerod Band,Siboniu
03CB:0081:0727:0079,Ombians Void,Guideko VIII,0B22:0080:0529:0033,Ommadr Terminus,Iamiashta XIV
03CD:007E:06B5:0079,Xigroes Conflux,Ittori,0A69:0080:0B96:0055,Motidind Spur,Oroler-Nero
03D5:007E:0C5F:0079,The Arm of Mapozin,Orumre,0DFB:007E:07C9:0009,Upsige Mass,Marstin-Jom
03D6:0082:07E3:0079,Joenpa Shallows,Uaiqua-Pipj XVII,0944:007C:0BE6:0044,Opolabai Boundary,Gilban-Yirda
03DA:0082:0364:0079,Arm of Ugband,Gazeyn,079D:0081:0E1F:0043,Elzago Anomaly,Okinsk
03DB:0081:0E5B:0079,The Arm of Vejita,Gugnina-Roces,0DDE:0081:0346:0012,Acquilan,Roishib XI
