bh-coords,bh-region,bh-system,ex-coords,ex-region,ex-system
0001:0002:0FFE:0079,Aevezi Cloud,Poytakm-Meok,0000:007D:0A1F:0008,Dutialo Band,Tiradus
0001:0003:0FFD:0079,Owskyl Anomaly,Gasgeir-Saga,0000:0081:098E:0014,The Arm of Cabrigi,Sotbreinam
0001:0079:0FD9:0079,Peyevisi Shallows,Tigoni,066B:007C:0FFE:006D,Letolai Conflux,Areyam-Emur
0001:007E:0000:0079,Cobogai Band,Bodones-Cian XIX,00EE:0082:0000:0038,The Arm of Huzenaszv,Yamoone III
0001:007E:0001:0079,The Arm of Owforel,Iochatt-Sicow I,0C71:0080:0000:0065,Kuhwabaad,Opingtus
0001:007E:0002:0079,Opdu Quadrant,Rechnour,0FFE:007E:071E:001A,Eierro Terminus,Lonego XII
0001:007F:0000:0079,Biboulli Cloud,Oevuiuts,0271:007F:0000:001F,Ujungo Sector,Auragiu-Jafil
0001:007F:0002:0079,Yoszoczy Cluster,Gorskyvi VI,0000:0081:0688:001F,Iborny Sector,Oajani-Isawa Iv
0001:0080:0001:0079,Siusiansa Boundary,Afonovny XIII,0294:0083:0000:002B,Lidbiel Shallows,Jahngers
0001:0080:0002:0079,Shdowa Fringe,Thursa-Lipoi,0FFE:007C:0E66:0067,Yarbarn,Boksara
0001:0082:0792:0079,Huggan Anomaly,Erinbaiz,0027:0081:06BD:0044,Oosber Adjunct,Resengil IV
0001:0082:0793:0079,Arleyd Conflux,Avuusf III,0F96:0082:059F:0007,Sea of Tatipof,Etjensisk XIX
0001:0082:0794:0079,Weetzu Expanse,Wumadin-Tuan,0244:007C:0D7F:0043,Aymaij Anomaly,Owaseb-Uur X
0002:0000:0000:0079,Kethome Band,SAS.F38,0000:007C:0769:001A,Kahruti Instability,SAS.F39
0002:0000:0001:0079,Sea of Retutosch,SAS.F36,0154:0080:0FFE:0055,Bevasaein Expanse,SAS.F37
0002:0000:0FFC:0079,The Arm of Ciyteelgha,Vodvig XIX,0FFE:007C:0686:001B,Smandoyle Boundary,Hogarma
0002:0000:0FFD:0079,The Arm of Kakolabi,Rotomac-Ufi,0000:007D:0E49:0056,Zavaiunas Quadrant,Egawak-Uphlu XVII
0002:0000:0FFE:0079,Niveltah Conflux,Omeyshnyev V,0D8C:007E:0000:001A,Sneyac,Pucheg-Ulkev
0002:0001:0AFF:0079,Naverokk Cluster,Sunator XIII,010C:007D:0CDF:004C,Skjeawer Terminus,Epanov-Ourd
0002:0001:0FFC:0079,Vircha,Heatre,0000:0080:0DCB:0063,Rigweir Band,Natudutg XV
0002:0001:0FFD:0079,Daporph Band,Elziamn XIII,0E0A:0082:0000:0027,Ecvare Nebula,Almats
0002:0001:0FFE:0079,Mamoro Conflux,Afaeleu-Via XVI,06D1:0083:0FFE:0062,Wancoop Terminus,Inkino-Kuz
0002:0002:0AFF:0079,Aiocab Spur,Leymyach,0FFE:0080:06D8:001C,Admeta Mass,Miotsu IX
0002:007E:0001:0079,Hojingon Void,Idaukafis,0DCC:0080:0000:0018,Kowsky,Dikais
0002:007F:0000:0079, Sacapurav Expanse,Kunetri-Nit,03D1:007F:0000:0049,Ebthea Quadrant,Sodokun
0002:007F:0001:0079,Yumisi Fringe,Ielind,0FFE:0080:0F7B:000D,Etnonga Expanse,Nacangx-Orqe
0002:007F:0002:0079,Luepers Conflux,Ebinais,0000:0082:050A:0049,Axawest,Roitsa-Tibu XIX
0002:0080:0000:0079,Xingul Sector,Belgod-Aanag XVI,06EE:0082:0FFE:001A,Tasageorgr Conflux,Gaurak-Ayugk XV
0002:0080:0001:0079,Eswant Cloud,Uzentak-Kusi,03F7:007C:0000:0055,Oquezium Band,Nenurtrat
0002:0080:0002:0079,Tionarail Spur,Surilo-Obq,0FFE:007D:0F98:0019,Amkarim Boundary,Kimiovik IX
0002:0081:0002:0079,Acnauh Mass,Edhakyam,0000:0081:0458:0061,Wayilow,Ugerla-Arbor
0003:0000:0FFC:0079,Orostra Band,Ualians,014A:007C:0FFE:0045,Zewicuhch Sector,Kuhash-Ailyv XI
0003:0000:0FFD:0079,Sudzerne Cluster,Pelinka-Mey,09FB:007E:0000:0009,Daleonoto,Huweyfanse
0003:0000:0FFE:0079,Liquit,Loding,0B28:007F:0FFE:0045,Yaxago Spur,Kiyosh-Utong
0003:0001:0AFE:0079,Gwrigur Terminus,Omchon-Esven,0EA7:007E:0D42:003A,Sea of Riktomat,Tayushv
0003:0001:0AFF:0079,Uajera Cluster,Relalsb-Vob,0076:007D:0BE2:0076,Chvind Shallows,Yumonas
0003:0001:0FFC:0079,Ecvarts Cluster,Gogsgeirsa VII,0A8C:0081:0000:0015,Ezesia Cluster,Hachik-Laga
0003:0001:0FFD:0079,The Arm of Zumonto,Bamega,0A99:0082:0FFE:0051,Fedyonska Quadrant,Tipant-Xoban
0003:0001:0FFE:0079,Devoisi,Vidirflo,00C9:007B:0000:0015,Rutrosti,Kohrussu
0003:0002:0AFF:0079,Dwyinla,Haoshanji,0FFE:0080:07FE:0046,Rokomust,Leyesetyr
0003:0002:0FFC:0079,Dibohen Terminus,Uefuki-Alu,00B7:007C:0FFE:005D,Iekdale Nebula,Cunatsvil
0003:007F:0001:0079,Akmorot Spur,Erluna,0F4C:0081:0FFE:0038,Cesabtrev Band,Iupans-Isen
0003:0080:0001:0079,Jendap Conflux,Thanterm,056B:007C:0000:0008,Wuberge,Lesbareyd
0004:0001:0AFF:0079,Lewooloh Shallows,Poetoms-Bekin,0000:007E:0AD5:0028,Ritdashan Spur,Otlast
0004:0001:0FF9:0079,Ezdarbru Spur,Pafalyk,0FFE:007E:0047:0004,Donezi Cloud,Tewker I
0004:0002:0AFF:0079,Heyest,Esgray,0FFE:0081:0922:0071,Cruzena,Eeyiij-Toiba
0009:0000:0FF4:0079,Bateco Quadrant,Akyoto,0D09:0083:0FFE:0055,Zaeina,Rivicer-Okpo
000E:0000:0FEF:0079,Kewench Adjunct,Liphuset,0FFE:007F:01CE:0076,Igmana Nebula,Aygano-Meink XI
0013:0000:0FEB:0079,Flinic Mass,Merimab,0945:007F:0000:005B,Dahisar Instability,Rubrit-Yait
0014:0082:03DC:0079,Sea of Bebagafon,Ewyomit-Ens,0109:0081:0D7D:0077,Syluce Nebula,Cocheng
0018:0000:0FE6:0079,Upsigeynna Spur,Huvudb,0EA8:0081:0FFE:0004,Gatiac,Uazhoum XVI
001E:0080:0743:0079,Jeffet Instability,Vitesyno,0FD8:007C:079E:001E,Newbur Terminus,Aoqingb
002D:007B:0868:0079,Wuchukch Boundary,Natomae-Nital VI,0FBB:007E:0743:0057,Diwodia Anomaly,Hetiana-Abdu
0032:007D:05F4:0079,Uriarned Anomaly,Afjolfu XVI,0259:0083:04D5:0001,Leprowle Mass,Ognori-Kos
003A:0083:07D6:0079,Ulunnr,Utente-Cutum,024A:007C:0D31:0016,Sikawa Shallows,Ambacia-Kodat
0043:007F:0710:0079,Kiylandj Shallows,Emblem XIII,0FA4:0082:0930:0026,Vadols Nebula,Luytkal Vi
004E:007C:05BD:0079,Retcuilek Nebula,Nayoshi-Etogu,0796:007E:000D:0054,Kuwunito,Yorkickop
004F:007D:0426:0079,Lifton Quadrant,Gaokak-Rid,0E49:0081:0DC4:005C,Papidom Anomaly,Ialtaro-Yomov XVI
005F:0083:0896:0079,Uressara Fringe,Lapato,0E50:0080:0C36:0026,Onirtuw Mass,Myangyua XII
0065:007B:08D2:0079,Nuakess Mass,Yisafn,079D:007B:0F95:0009,Slyavs Anomaly,Redalri V
006B:007E:06FB:0079,Imoess Cloud,Madalio-Guild,0F94:007F:0802:0063,The Arm of Ixkars,Biluod-Ayle
0070:0081:088A:0079,Ottaja Void,Regieb-Dinan,0F83:007D:085A:0011,Ilesli,Iyazawa-Zama
0074:007D:0A7B:0079,Javezi Anomaly,Sivuveri,0D07:007D:01EC:0016,Eyramaeve Mass,Zuyevozy I
0076:007D:08E0:0079,Ayevik Shallows,Lijini,0DC8:007F:0CCF:003D,Hupagaha Sector,Bifros-Kehar
0076:007D:0BE2:0079,Chvind Shallows,Spriet,0FFE:007C:0971:0068,Ivjalsapru Adjunct,Damats-Cim XIX
0078:007C:009F:0079,Nodveld Anomaly,Hihama-Anjao,0FFE:0081:0995:004F,Xekarls Spur,Sudusia
007E:007F:055E:0079,Gaatist Adjunct,Bigera-Puckf III,06CC:007E:0FCA:0072,Upidome Band,Taclar-Suj I
008C:007B:036B:0079,Kunuman,Udutong-Sih,0880:007C:0000:0027,Aszegi Sector,Oushuopi
008D:007D:087A:0079,Zuturtem Conflux,Noyunfu-Ushu,00B9:007E:069F:0045,Dixuiab,Vutroymme
008D:0096:0EFC:0079,Walgeus Cluster,Lontratt,0112:007F:0755:0014,Latong Cluster,Yevetrac
0096:007F:052C:0079,Dedharasch,Ongcohe,0FDE:007E:07D7:003E,Suntist Terminus,Osuhte-Turp
0099:007F:0653:0079,Tedeorineb Void,Oibaot-Morio XVI,0A77:007E:0F1B:0042,Lakenuan Instability,Mumodbu
009B:007D:059B:0079,Aeditjal Cloud,Mancol,0650:007F:0F84:0062,Aweraean,Aduzhi-Okk XVII
00A1:007D:0A5E:0079,Abakala Instability,Zehgariq XIV,0349:007B:0E11:0020,Papode,Uchuor I
00A3:007F:059D:0079,Prooell,Ampoa-Ribe,0984:0083:0F86:0031,Irgiten Nebula,Nunonan
00A4:007F:0B55:0079,Irpiaple Boundary,Pelung,02A1:007D:0DF4:003E,Awabbo,Fuchiga
00A5:007D:0664:0079,Ludweinib Boundary,Faktichu,06DE:0081:009D:002C,Meporzia,Bushyuepi
00A9:0082:0754:0079,Tethemi Terminus,Zelinta XVIII,0587:007B:011C:0005,Povansi Cluster,Lekovro-Tessa
00B9:007E:069F:0079,Dixuiab,Mostruf-Legz,07F7:007F:00A5:0006,Uzenut,Onbetsu-Jio XIII
00C3:007B:0A1A:0079,Raburga,Toonggub,049B:007C:0156:0054,Emglav,Isentum
00C6:0000:0F39:0079,Gunhor,Fryansk,0FFE:0081:05B3:0028,Doctava Spur,Zohirae-Vette
00C6:0000:0F3A:0079,Nawyran Adjunct,Aturnle-Anda,0027:0082:0E78:0064,Cricci,Vikatil
00C6:0001:0F39:0079,Xukeener Shallows,Osloug,0000:007E:0E0D:0071,Zombri Shallows,Zahought
00C6:0001:0F3A:0079,Shbunno Cloud,Lecheongg,0C9C:007F:0000:0034,Unzaibe Cluster,Osittar-Taa XV
00C6:0001:0F3B:0079,Cidordo Sector,Hemanna-Banyu XII,07E9:0080:0FFE:0070,Heresiu Void,Bondli-Apo
00C6:007F:0B26:0079,Chtigatag,Uobramidad,0DBD:007C:02AD:000E,Gibsonoss,Tairos-Niia II
00C7:0000:0F39:0079,Famall Spur,Atsumazun,0FFE:0082:03CA:0053,Woshamb,Lagodarn
00C7:0000:0F3A:0079,Edbryn Fringe,Vaskur-Rive,0194:007B:0FE5:0017,Ekwatel,Ritiner-Begr
00C8:0000:0F39:0079,Onlivirta Adjunct,Ajoitus,0491:0083:0FFE:0005,Tarhyuro Cluster,Yovushc XV
00C8:0001:0F39:0079,Modesc Terminus,Komorigu,0751:007F:0000:004D,Usemepanj Shallows,Sebasippe
00CA:007F:0B94:0079,Gumatseolt,Yasnoy X,015C:007C:0C72:0028,Gosburo,Yauzarut XIV
00D2:007E:03F2:0079,Vemani Band,Gamikikaw,0A3A:0081:01EA:0051,Bantwernh Adjunct,Olbian
00D9:0080:0811:0079,Lewheela Nebula,Iinsky-Meiy XVI,0A7C:0080:0EA3:002B,Fadiesk Adjunct,Ijonak
00DA:0080:0811:0079,Pusolve Shallows,Geyodawa VI,0181:0081:0529:0056,Jukran Mass,Ervoma-Moto
00E3:0080:0412:0079,Nagdalt Quadrant,Icrowb-Tuell VIII,0DDC:0080:0D86:0065,Zudovi Expanse,Onehou
00EE:0082:0000:0079,The Arm of Huzenaszv,Reberon-Aiwan,04AF:007D:0FFE:0062,Osganyi Fringe,Iakous-Onk XVI
00EF:007C:078F:0079,Yoggidram Nebula,Inquanh-Atu XI,074E:0080:0EFB:003C,Aknatrevl Expanse,Achins
00F4:0080:07CB:0079,Wodavis Quadrant,Rumerc-Olu,01EE:007D:0489:004B,Ezniku Boundary,Oarmii VII
00F7:007E:07D5:0079,Avistu Sector,Goshunany,08E9:0081:0116:004E,Ricaeinon,Notkame-Izuis
00F7:007E:07D6:0079,Sea of Toyono,Magnelses,0E8C:007F:0595:0003,Neckeane Conflux,Derzhi-Asbe I
00F7:007E:07D7:0079,Guyoudu,Zenachn-Ins,0C40:007B:0D86:0030,Micinia,Ufangh
00F7:007F:07D5:0079,Misowa Instability,Middel,0E67:007F:0AC5:0008,Engyear Cluster,Rugoic
00F7:007F:07D6:0079,Piteran Quadrant,Horondo-Yerme,0108:0080:085E:0044,Ospedind Band,Vikinosl
00F7:007F:07D7:0079,Unozaw Sector,Aaukidos,0D59:0083:0383:0007,Fiboga Terminus,Oosholar
00F7:0080:07D5:0079,Raikdal Expanse,Bosolope,0393:0082:029B:0050,Alkhalkh Fringe,Zuvantam
00F7:0080:07D6:0079,Kiddio Conflux,Yadopps-Hob,0E5D:007B:0ADB:0014,Matradf Band,Isshinow
00F7:0080:07D7:0079,Echearylo,Nojose-Ovo,0132:007E:0987:0050,Yolveinem Nebula,Ohnnyv-Maki
00F8:007E:07D5:0079,Feharav Boundary,Ditans-Mabas,0C50:0082:0D76:0078,Nivoorii,Kudyans-Pitk
00F8:007E:07D6:0079,Aouler Boundary,Loyarti X,052C:007F:0E5F:002D,Qangbeth Band,Uladse XVI
00F8:007E:07D7:0079,The Arm of Owratuat,Uuragi VII,0113:007C:0733:005A,Baxbak Band,Monemue XIX
00F8:007E:07D8:0079,Cetinou,Eppete-Tif,0579:0081:017E:000F,Jolabi,Senden-Ard
00F8:007F:07D5:0079,Ihozon Terminus,Jainro-Zuru,018E:007F:0AA9:0032,Axters,Ikourne-Ray
00F8:007F:07D6:0079,Redsummu Conflux,Black Hole Portal Alpha,0C92:0081:02BF:006E,Zahkovici Band,Through the Looking Glass
00F8:007F:07D7:0079,Dehmanu,Xishan,077C:007B:0EF3:0032,Hiehbogam Boundary,Gaydiau
00F8:0080:07D5:0079,The Arm of Uokaraid,Asgaut-Yawa,0EF3:0082:0894:0002,Utullpo Expanse,Payrust-Mez XI
00F8:0080:07D6:0079,Hupuchin Shallows,Vaikal,0185:007C:0A92:003E,Aiowatsh,Idakar-Shgaw
00F8:0080:07D7:0079,Letorcon Terminus,Muvauslua VIII,0BA3:007F:020B:0002,Uzaravel Quadrant,Nabellum
00F9:007E:07D5:0079,Boyuanz Conflux,Azemskyv XIII,0ABA:0082:0196:002B,Cadyav Quadrant,Xidike-Rachel
00F9:007E:07D6:0079,Sodoolh Void,Inanabeod,0EF0:0080:076D:0058,Weyerdro Spur,Ungichangj VII
00F9:007E:07D7:0079,Molchach Terminus,Sundir-Diovi,0A9E:007C:0E75:000C,Syapepin Mass,Homaan
00F9:007F:07D5:0079,The Arm of Sovanequi,Iojimi,0D6A:0080:0C5F:005D,Nodgreat Conflux,Ankokay
00F9:007F:07D6:0079,Eapurusse Adjunct,Esnoyer-Fueff XVII,0131:0081:067E:0020,Wulana Adjunct,Disosol
00F9:007F:07D7:0079,Farray Void,Tenriare,0E56:007C:051E:005C,Artaeh Anomaly,Agratov-Edo
00F9:0080:07D5:0079,Ivkati Anomaly,Zabashov,052F:007B:019F:002D,Ligiena Cloud,Umgildu-Enin
00F9:0080:07D6:0079,Akwina,Siusak XIV,0D5A:007D:0C71:0069,Rotyukaia,Rigboroug
00F9:0080:07D7:0079,Vakulli,Loyans-Nosu,0109:007F:07A7:002C,Lalkese Conflux,Eosungcah
00FA:007F:08E9:0079,Bakepatu Band,Bellin,08EF:0082:0108:0004,Nogrli Quadrant,Shrewen-Voka IV
00FD:007D:05DA:0079,Olundjin,Volasady,0184:007C:04B7:0073,Ewulgu Expanse,Womndin
0100:007C:084D:0079,Doaril Boundary,Finasus-Kumo,01A8:0081:0AD1:0061,Onkley Expanse,Appley-Aqu System
0101:007B:0B80:0079,Opaxisr,Lukhia,0F1E:007F:0B19:001A,Udxenari Adjunct,Kewell-Evrov XI
0101:007F:07D5:0079,Noctorc Sector,Ranoyab-Hichi,0682:007D:0EC5:0049,Lernicna Instability,Toonga XIX
0103:007F:068D:0079,Eybakt Cluster,Hannyuva XIX,09D6:0080:0ED2:006D,The Arm of Ukhormic,Dobryazh
0106:007F:0475:0079,Gubacit,ki3,0152:007B:0BF0:0070,Faxina,ko3
0109:0081:0D7D:0079,Syluce Nebula,Nugcangmu,0930:007E:0000:0032,Rocmils Band,Alvirg
010A:007D:082B:0079,Sea of Hakwiama,Nugoyer-Bibai,013C:007F:0964:0020,Pardohruv Boundary,Surumanas
010B:007D:0B95:0079,Sea of Aidavaci,Nobetsu,0EB8:007E:0BE0:005F,Eipner Quadrant,Kijapa
010C:0080:07BA:0079,Huberuk Instability,Samaizu WIII,0C44:007D:0295:004C,Hanau,Alqovet-ENA
010F:0082:02D1:0079,Occoopt,[shb] Nayosend,03BF:007E:0086:0050,Avaroa,[shb] Sasusant
0110:007F:07C8:0079,Hovete Adjunct,Ogdeqin-Vofunk,03BB:007E:0D65:0034,Fastany,Uhasudam
0110:0082:0899:0079,Pekatuba Shallows,Sudama-Neyi,0D0D:007D:034D:005A,Zuhorun Fringe,Jearkr XI
0111:007E:0752:0079,Exvesur Terminus,Erylai-Hoe,0982:0081:0EBA:0072,Bubujung Cluster,Uvaroshad VIII
0112:007B:047E:0079,Thwalanu Band,Oviati-Rada,0F9A:007E:06BF:0026,The Arm of Xalkup,Hunqin-Dasm
0113:007A:07C4:0079,Kutnave Conflux,Mirakah,0AF9:007F:01D0:005F,Noqangp Band,Ertovn XVII
0113:0081:077A:0079,Iseurbi Fringe,Black Hole Biusau,0DBC:0082:0BC9:0064,Xecheimri Band,Linarans V
0116:007F:0C10:0079,Uzhayy,Naciusi-Iue,007E:007F:055E:0074,Gaatist Adjunct,Netforth
0117:007C:081E:0079,Ewheeve,Lacheb,07C4:0080:0126:0030,Ziesse Terminus,Arenno XII
0118:007B:04DB:0079,Lelkeret Mass,Uksetue-Yiser,01BC:007C:0C2E:0011,Wofordi Fringe,Iaraummea XII
011A:0000:0EE7:0079,Siophif Sector,Publik-Tou,0F1D:007D:0E9D:0014,Daibogd,Ebhioscon
011A:0080:06ED:0079,Upherb Cluster,Raixoi XV,0874:007D:0EE7:0036,Epagas,Getowe
011A:0081:06EC:0079,Igdisa Spur,Gourdpin XVI,011A:0081:0769:0044,Owdalt Cloud,Lohomal-Ned
011A:0081:06ED:0079,Cuktham Void,Nitrogen home,0E6F:0082:0572:0008,Rorukage Fringe,Kungma-Yachi
011A:0082:06EC:0079,Jigaik Shallows ,Uverkku-Adfo II,0B14:007C:01CC:0013,Unhitei,Chnyev
011B:0000:0EE5:0079,Laakovsk Band,Gunagonq,0FFE:0080:0763:003E,Igesseu Adjunct,Lolatal
011B:0001:0EE5:0079,Poaesc Mass,Rafjorte,0473:007D:0000:0010,Noczewsony Sector,Xahamilto
011B:007E:0358:0079,Aynamwe Terminus,Paining-Lotb XI,06BB:007D:0FFE:0045,Easdam Cloud,Hidakats XII
011B:0080:06EB:0079,Buonka,Abulwe,0D50:0083:0C69:0061,Pointo Spur,Daliaiu
011B:0081:06EB:0079,Yadumli Mass,Iijincu-Asod,0A93:0080:0194:0032,Ahmeto Expanse,Nikarisc
011B:0081:06EC:0079,Puskange Conflux,Esmeni ,088D:0081:0EE2:006E,Hogadr Shallows,Shunanko
011B:0082:06EC:0079,Isincium,Uolephy,0162:007C:05FB:003D,Isgayb,Ufalek-Sehar
011C:0000:0EE4:0079,Kuminur Anomaly,Kusarsen,0000:0080:030E:002D,Evandig Adjunct,Dokumen
011C:0000:0EE5:0079,Uwonazz Band,Eobach-Stri,0FFE:0081:08B2:0069,Mecolan,Bikoku XII
011C:0081:06EB:0079,Dovicia Void,Iizawatah,0B69:0080:01FE:005D,Stsiop Boundary,Usovok-Yeedz
011C:0081:06EC:0079,Aignais,Elatou,079D:0082:0EE7:0021,Vinchelk-Adjunct,Guneuij-Voi
011C:0082:06EC:0079,Kihnupi,Shrewks,01B9:007D:051C:0068,Tiphent,Xuarolu-Glias V
011D:0000:0EE5:0079,Taporzan,Enskol-Omu,0719:0082:0000:001B,Daurio Shallows,Ritach-Iuang VII
011D:0000:0EE6:0079,Batamar Quadrant,Aikaic,0D1B:0083:0FFE:0057,Sorgus Boundary,Kianzad-Olo
011D:007B:0704:0079,Wakoba Boundary,Asbesl-Dom IV,0DA8:0083:040F:0022,Ufeyevi,Axusuchrot
0120:007D:072F:0079,Susekhod Terminus,Abjauna-Detr,01A0:0083:0A89:0047,Perebroo Terminus,Slyube-Say XV
0121:007C:0917:0079,Iinikle Boundary ,Haumon-Shta system ,0430:0080:0241:0067,Radhans,Kayamata
0121:0080:06C1:0079,Orumpkea,Seuraa-Ipst,0997:007D:0141:0001,Aentoa Conflux,Wuannam X
0121:0081:08D5:0079,Zuchsufelk Instability,Fisoseng,02D1:0081:0C81:0006,Hebkaud Anomaly,Dargert
0122:0080:0742:0079,Poemepat Conflux,Sotapol VII,0A96:007C:0E55:004B,Dipibo Adjunct,Sotapol VII
0123:007C:03D9:0079,Naquisa Cluster,Ussura,0B63:007C:0F33:0029,Jistembu Adjunct,Atvedbokh
